taxon,id
Skeletonema potamos,307
Stauroforma exiguiformis,308
Stauroneis kriegerii,309
Stauroneis leguminopsis,310
Stauroneis parathermicola,311
Stauroneis separanda,312
Stauroneis smithii,313
Stauroneis thermicola,314
Staurosira binodis,315
Staurosira construens,316
Staurosira subsalina,317
Staurosirella lapponica,318
Staurosirella oldenburgiana,319
Stephanocyclus meneghiniana,320
Stephanodiscus hantzschii,321
Stephanodiscus minutulus,322
Surirella angustata,323
Surirella biseriata,324
Surirella linearis,325
Surirella ovalis,326
Surirella splendida,327
Surirella suecica,328
Surirella tenera,329
Surirella terricola,330
Tabellaria flocculosa,331
Tabularia tabulata,332
Tetracyclus rupestris,333
Tryblionella angustata,334
Tryblionella angustatula,335
Tryblionella apiculata,336
Tryblionella brunoi,337
Tryblionella calida,338
Tryblionella debilis,339
Tryblionella levidensis,340
Tryblionella littoralis,341
Tryblionella salinarum,342
Ulnaria grunowii,343
diploneis navahoarum,344
